River Discharge (m³/s),Flood Occurred
0.847286384702353,1.0
0.4945426044704162,0.0
0.1954706143213947,1.0
0.736683991231594,0.0
0.4186984832002632,0.0
0.5946599258843257,1.0
0.1072642308945707,1.0
0.6316189723709599,1.0
0.3735677343474656,0.0
0.3342042894285678,0.0
0.9799745062564288,1.0
0.4324519356367987,1.0
0.6780765542867452,0.0
0.6277622533327304,0.0
0.1043022880131931,0.0
0.7479705174783545,1.0
0.3231729848940747,0.0
0.7989860362219172,1.0
0.6076741195929847,1.0
0.3171048543139594,0.0
0.3563090194355263,1.0
0.7315492213434688,0.0
0.5500886938991282,0.0
0.668388550926123,0.0
0.1583207712266306,0.0
0.7870223369147842,1.0
0.3204049101086861,0.0
0.6198954441822662,0.0
0.1146792756443843,0.0
0.3214339030796497,1.0
0.6489034639912876,1.0
0.2742165486730422,1.0
0.8803642774032603,0.0
0.661265420081527,1.0
0.8703297842176537,1.0
0.395409448969175,0.0
0.0339790460027031,1.0
0.5761711349383353,1.0
0.3392083863978836,1.0
0.4482107519995157,0.0
0.681148601254489,1.0
0.7007043985931358,0.0
0.0275498763273721,0.0
0.7693471225995211,0.0
0.4935444070948646,0.0
0.556728608503066,0.0
0.2980062367845855,0.0
0.4208542816988709,1.0
0.710415533007739,0.0
0.7767587621518497,0.0
0.387124358400675,0.0
0.6911566078950718,1.0
0.2580528070376081,0.0
0.8320714263655528,0.0
0.6098477252902887,0.0
0.7752313702874261,1.0
0.477179219576394,0.0
0.229116601367301,0.0
0.4292521862516919,1.0
0.3815031853331351,1.0
0.3327309818807209,1.0
0.2121798999629118,1.0
0.7592108949142893,1.0
0.0863491644197199,1.0
0.8876135088236483,1.0
0.1750283214621354,0.0
0.9799325764480746,1.0
0.9885275634700588,1.0
0.3984059939302166,0.0
0.9878805435415786,0.0
0.8691198250336295,1.0
0.0824275104863709,1.0
0.9473852510468034,1.0
0.0425088755904013,0.0
0.1819183658987243,1.0
0.584627293673834,1.0
0.0807342955546169,0.0
0.1617304415084724,0.0
0.953548898195895,1.0
0.9947478278277134,1.0
0.7981829736060345,1.0
0.5152363746261607,0.0
0.9003543903888347,1.0
0.111898030113791,1.0
0.9429482516808708,1.0
0.3515686607258063,1.0
0.8615401779902234,1.0
0.6684109177776103,0.0
0.9603318813756332,1.0
0.8647289537370648,1.0
0.8879504156464038,1.0
0.6317893506861503,0.0
0.83320737024474,0.0
0.757174763839979,0.0
0.1616258082309004,1.0
0.6486330436902344,1.0
0.1481772994482452,0.0
0.8695074562827187,1.0
0.065945899996966,1.0
0.9871060878694776,1.0
0.4006457727805861,0.0
0.1706326501242246,0.0
0.9357308700019428,1.0
0.0454206760616544,1.0
0.47012951719802,1.0
0.7702716412322761,0.0
0.3167638163505289,1.0
0.528862589678033,1.0
0.7004527305373689,1.0
0.9520334279173612,1.0
0.1027012663509754,1.0
0.1572290788276126,0.0
0.5088974426416462,1.0
0.4184952947006159,1.0
0.4108159663866529,0.0
0.2969734835433883,0.0
0.5607149076903932,0.0
0.8833406214016333,1.0
0.160926969829405,1.0
0.2152926956788329,1.0
0.6708611780132985,0.0
0.0561930845731658,0.0
0.6738020819231775,0.0
0.3144693340682512,0.0
0.3578700978070117,0.0
0.4055688188570853,1.0
0.3496031596610823,1.0
0.8412590139871139,1.0
0.94612505819767,0.0
0.5480407133221028,0.0
0.5819100648902114,1.0
0.0704795202941082,0.0
0.7132325210183622,1.0
0.5841305916498511,1.0
0.0503895551811047,0.0
0.1984308742378279,1.0
0.2019488693721834,1.0
0.1709712716416929,1.0
0.6586827977413269,1.0
0.928495004330828,0.0
0.7630193401707662,0.0
0.4773978675014798,0.0
0.4040706400395997,0.0
0.3864762379926079,1.0
0.6012798551562082,0.0
0.3592369193016017,0.0
0.2261290822234523,0.0
0.6028759137429134,1.0
0.390723838074701,1.0
0.0141173673062263,0.0
0.0222242089623774,1.0
0.2741470227582652,1.0
0.5124489910742642,1.0
0.3542554256162792,1.0
0.0240483731692078,1.0
0.2231586706132713,0.0
0.0964175038328206,0.0
0.9486887783790724,0.0
0.3128471473305441,0.0
0.0147589538580878,0.0
0.6606002269009416,0.0
0.232455486395317,0.0
0.5667667801949519,0.0
0.1507473841953452,0.0
0.9840724442776388,0.0
0.9703174502549604,0.0
0.6560200117791588,0.0
0.7072428027691569,0.0
0.4258997337949721,0.0
0.96223705369232,0.0
0.4237603158191334,0.0
0.2394760258605233,0.0
0.115378108041339,1.0
0.2081311742419375,0.0
0.5722444056036369,0.0
0.2451001329713198,1.0
0.6542859693449699,0.0
0.382202358798364,0.0
0.886925437059644,1.0
0.5585080249543573,1.0
