Rainfall (mm),Flood Occurred
0.730057612799311,1.0
0.1844910189831684,0.0
0.3466425778511413,1.0
0.6633301199244331,0.0
0.4821121619330559,0.0
0.7386316020800499,1.0
0.9613012298101384,1.0
0.1165157087444903,1.0
0.7096240114666146,0.0
0.2303299240686702,0.0
0.4144895943659664,1.0
0.032819431177896,1.0
0.1358792526071553,0.0
0.3197762192291701,0.0
0.3419880038631763,0.0
0.8996694761287979,1.0
0.7418739498130403,0.0
0.972277911958906,1.0
0.59911154383842,1.0
0.2417011737718469,0.0
0.3276551194575398,1.0
0.3198348621013535,0.0
0.3264942463802912,0.0
0.6730150812903277,0.0
0.5308379153418294,0.0
0.3854327694237609,1.0
0.1490635790757447,0.0
0.0220942901538083,0.0
0.2188187521911628,0.0
0.1074390894017107,1.0
0.7855124926744161,1.0
0.1124663829975079,1.0
0.7242866899428544,0.0
0.3856673156259424,1.0
0.0733410577576617,1.0
0.8128015267501235,0.0
0.5796677426450132,1.0
0.2357480785646857,1.0
0.8947647122786475,1.0
0.0452168434939129,0.0
0.201801178718305,1.0
0.7521094744779578,0.0
0.7094341974479014,0.0
0.2892661344408083,0.0
0.0619858724865267,0.0
0.8581562233458094,0.0
0.3136956735168119,0.0
0.195694086809256,1.0
0.5160896394495325,0.0
0.9103130251142288,0.0
0.043504855553044,0.0
0.7658686593241759,1.0
0.5725093470114891,0.0
0.42546359830071,0.0
0.7441418183613779,0.0
0.9659184324358948,1.0
0.22919181212962,0.0
0.1436203744685449,0.0
0.9129679617201304,1.0
0.6690033953287225,1.0
0.4380023483488715,1.0
0.5732958050619157,1.0
0.7456755051097896,1.0
0.7730975337053534,1.0
0.9199814293263096,1.0
0.4268574757492406,0.0
0.2934059598981462,1.0
0.6397102742697425,1.0
0.4157409503710659,0.0
0.5946378291589777,0.0
0.4199994761762929,1.0
0.1529701718681632,1.0
0.4694477055322237,1.0
0.6909713723318393,0.0
0.7993533061224123,1.0
0.4933507479280447,1.0
0.1652140770528988,0.0
0.4147006076577775,0.0
0.7863615155949532,1.0
0.4128718995367149,1.0
0.6965851700478761,1.0
0.5072401965986949,0.0
0.2412104945880121,1.0
0.7962195453547014,1.0
0.0841777166651757,1.0
0.5249193991153368,1.0
0.2088736454553972,1.0
0.0670273675154089,0.0
0.5029598221600883,1.0
0.4995875447916527,1.0
0.706956804273044,1.0
0.744812165947782,0.0
0.7278504657274208,0.0
0.409570876101081,0.0
0.6317346211139451,1.0
0.5769820198566177,1.0
0.4215756657686512,0.0
0.5972524541299131,1.0
0.947339150817108,1.0
0.1928740005954661,1.0
0.9058572659662288,0.0
0.0534152499765364,0.0
0.3083864671153857,1.0
0.2881395235505753,1.0
0.6264091581430004,1.0
0.1311961329852818,0.0
0.8824293346733423,1.0
0.8286252141898964,1.0
0.6521136522836177,1.0
0.4584331649101199,1.0
0.9330452129444904,1.0
0.8308206835018817,0.0
0.4993405005861887,1.0
0.7019285171548476,1.0
0.5669652554566619,0.0
0.5879806340127351,0.0
0.3309766477259067,0.0
0.4621044779650991,1.0
0.0780847968300581,1.0
0.3573531511733494,1.0
0.6958827884525419,0.0
0.9533081829415156,0.0
0.963157714526242,0.0
0.5557565230718129,0.0
0.606663396544364,0.0
0.1857003868401374,1.0
0.6953623045963424,1.0
0.0706210604491406,1.0
0.2846794515996819,0.0
0.6684135783671324,0.0
0.3103076684560072,1.0
0.0498060790295298,0.0
0.8319447035283353,1.0
0.3103275469721427,1.0
0.063066380985882,0.0
0.0747510399912446,1.0
0.2517477187870874,1.0
0.1779940145920245,1.0
0.7743659394217371,1.0
0.3216832574620406,0.0
0.8047660799674058,0.0
0.1738234515082843,0.0
0.4929035848769315,0.0
0.6880902599972295,1.0
0.6520386754315844,0.0
0.6011697462915282,0.0
0.9249095755998882,0.0
0.2285106484425585,1.0
0.4937437334201941,1.0
0.8840745149891562,0.0
0.0778570981303165,1.0
0.0558483622713085,1.0
0.2332884913388051,1.0
0.633066249370351,1.0
0.2598697415784949,1.0
0.1902197501582037,0.0
0.4588217056487737,0.0
0.613640240124994,0.0
0.2485461559150701,0.0
0.30068730803019,0.0
0.6136014704622611,0.0
0.9458294739560504,0.0
0.6747928972166761,0.0
0.782971231468066,0.0
0.3668159466851095,0.0
0.2722462956845389,0.0
0.4542864661467383,0.0
0.8072034822954074,0.0
0.4563186637662212,0.0
0.8468018891558184,0.0
0.9888693658477508,0.0
0.0719891348129719,0.0
0.0453687080534621,1.0
0.1495635868349742,0.0
0.3843781118818908,0.0
0.1310133634594575,1.0
0.8707444810625332,0.0
0.0231015264504098,0.0
0.3157910601123424,1.0
0.184673679756626,1.0
0.9316282924645092,0.0
0.6695314004557565,0.0
