Water Level (m),Flood Occurred
0.7417154574247198,1.0
0.8813431476684741,0.0
0.463178510023245,1.0
0.2890763444116696,0.0
0.3187614117047248,0.0
0.6970826146889936,1.0
0.5676172687002075,1.0
0.4865063014551568,1.0
0.2026215265411748,0.0
0.8756936819970177,0.0
0.7812036146191444,1.0
0.1404499747739976,1.0
0.3673314744860549,0.0
0.5421765665081049,0.0
0.4543321243449774,0.0
0.3977565125970034,1.0
0.7189789591288667,0.0
0.0542648687983148,1.0
0.4714137522280577,1.0
0.2620636291356798,0.0
0.0843972339485697,1.0
0.4648867838645145,0.0
0.1711979054374633,0.0
0.2581039230367378,0.0
0.5070328103915517,0.0
0.9740040185092638,1.0
0.6843819936566768,0.0
0.2795138623129416,0.0
0.3823577914041143,0.0
0.4060986666731897,1.0
0.1534565433751619,1.0
0.1604771825810557,1.0
0.1482105995856489,0.0
0.5216967272824192,1.0
0.6743072277605873,1.0
0.5907933671340944,0.0
0.9780645801502612,1.0
0.1256773735648643,1.0
0.9867768562540602,1.0
0.4666745971190904,0.0
0.218489442820755,1.0
0.9435581985482886,0.0
0.4686150993424468,0.0
0.3472783393636373,0.0
0.2136639588987971,0.0
0.2677606955560186,0.0
0.9795177481175366,0.0
0.3038796421821172,1.0
0.9781033409472752,0.0
0.3301364242551743,0.0
0.2312825437646616,0.0
0.1832003616335856,1.0
0.4118233413398936,0.0
0.2366736548762356,0.0
0.6970723141748312,0.0
0.2396406632969009,1.0
0.8356115820590798,0.0
0.8342251911029981,0.0
0.2854218662937797,1.0
0.7537073430252631,1.0
0.8577734723660556,1.0
0.5902051851707882,1.0
0.3662748176281455,1.0
0.4409529250730352,1.0
0.7864150560592059,1.0
0.2932174796079467,0.0
0.3343862379523054,1.0
0.1606074055404429,1.0
0.3990138064106797,0.0
0.0862950821801882,0.0
0.3209505485740334,1.0
0.3734259371130635,1.0
0.2553571797867046,1.0
0.1011466866344817,0.0
0.5216998339096622,1.0
0.8653131409968768,1.0
0.3355693358631945,0.0
0.2366687749297827,0.0
0.2849334265214956,1.0
0.8621172981739177,1.0
0.5278437459299549,1.0
0.1305960065900627,0.0
0.7093631310879401,1.0
0.1541882778494828,1.0
0.0600091005643067,1.0
0.2555630433117649,1.0
0.167917490439356,1.0
0.6050784457429544,0.0
0.4845774586165851,1.0
0.7242146500445265,1.0
0.5115977799423448,1.0
0.4189789232657091,0.0
0.5262539242738802,0.0
0.4344680886544163,0.0
0.0368381467066676,1.0
0.6808240353619546,1.0
0.9624186424346968,0.0
0.4220083028746502,1.0
0.4237087162629672,1.0
0.0455251720326303,1.0
0.8906257434384162,0.0
0.9293905392924316,0.0
0.8133409326430363,1.0
0.1061369346076391,1.0
0.9004760554996402,1.0
0.0236992924335564,0.0
0.4445621558346622,1.0
0.5006440279239747,1.0
0.8342160283245138,1.0
0.7510248695006327,1.0
0.7972893973061279,1.0
0.8681345579117558,0.0
0.4760770394437952,1.0
0.7804350746874797,1.0
0.0678023140004108,0.0
0.4445342391503767,0.0
0.0298798901689084,0.0
0.9155762014480382,1.0
0.9586999404150178,1.0
0.083717514598239,1.0
0.5326655985856706,0.0
0.3250580973062847,0.0
0.342462874666823,0.0
0.450691450466222,0.0
0.124868297099213,0.0
0.1806048714955518,1.0
0.5774335907081317,1.0
0.0184965195932296,1.0
