Elevation (m),Flood Occurred
0.0425419355201469,1.0
0.8285858249829129,0.0
0.2492411055695916,1.0
0.283879717468375,0.0
0.2261729212990733,0.0
0.8401681129939892,1.0
0.9790215486032896,1.0
0.7552491618313866,1.0
0.8236578095646115,0.0
0.6205286295229104,0.0
0.528779689482366,1.0
0.7216319462558559,1.0
0.0356419531015885,0.0
0.0612861369122695,0.0
0.6873186831745624,0.0
0.3350253553430295,1.0
0.4888289536070048,0.0
0.7820619094558561,1.0
0.5771750260511239,1.0
0.8053371536010535,0.0
0.4191320727490544,1.0
0.2873665949314102,0.0
0.2347667425033403,0.0
0.1315844822829889,0.0
0.0366758601247676,0.0
0.0530325230459906,1.0
0.2709378812142811,0.0
0.2783535387670954,0.0
0.3817518309345794,0.0
0.591638175715976,1.0
0.7593630947248065,1.0
0.1976253738928635,1.0
0.7593117230964838,0.0
0.1388949225210482,1.0
0.9888156705273368,1.0
0.2849764157568156,0.0
0.837418471559223,1.0
0.1903843478979035,1.0
0.9507551281808208,1.0
0.8267075117137024,0.0
0.3593508521672023,1.0
0.4214491473236795,0.0
0.0037089277028385,0.0
0.2513663093633745,0.0
0.2892401755102322,0.0
0.4527240925516416,0.0
0.1389552240964502,0.0
0.4787589183068368,1.0
0.6685088851719664,0.0
0.3712469222160355,0.0
0.2321244356289253,0.0
0.5477260977090495,1.0
0.0288812538714075,0.0
0.3407943121094738,0.0
0.5275947219312995,0.0
0.3357984040139768,1.0
0.3453894587891791,0.0
0.8483829144617661,0.0
0.9340998893163222,1.0
0.8274735691274758,1.0
0.0987626145960946,1.0
0.2896862776561249,1.0
0.7113456860645158,1.0
0.9745111984566848,1.0
0.2422132803023599,1.0
0.8983094577953432,0.0
0.7390733746600651,1.0
0.9835710793070794,1.0
0.093479299478232,0.0
0.3947163549088202,0.0
0.4781068663031232,1.0
0.6721239465202792,1.0
0.6540087397648995,1.0
0.906446397624933,0.0
0.8387569206303085,1.0
0.0552567432594768,1.0
0.4865341351915681,0.0
0.4070349771010981,0.0
0.9972687911658212,1.0
0.4272370908903363,1.0
0.682663147848641,1.0
0.2843719117126796,0.0
0.6146556278215793,1.0
0.2065557309088638,1.0
0.6036305171193672,1.0
0.868281562819371,1.0
0.0191126522219689,1.0
0.504585023111306,0.0
0.982491061974427,1.0
0.1591730863279189,1.0
0.1833290495765192,1.0
0.4708137259602302,0.0
0.8710852192443288,0.0
0.5627730558444101,0.0
0.5087083092181862,1.0
0.0866491357495381,1.0
0.9621012545834878,0.0
0.3470743936816921,1.0
0.2517413127908935,1.0
0.4117188856101426,1.0
0.414157724262465,0.0
0.4585199797617238,0.0
0.6885837189505073,1.0
0.8680378307155855,1.0
0.0571974491796322,1.0
0.4907636550042885,0.0
0.4139536353579801,1.0
0.0107528425780265,1.0
0.8165675926156222,1.0
0.10420975418028,1.0
0.1146472232040169,1.0
0.0481806886228445,0.0
0.2003426923260185,1.0
0.1767313212411491,1.0
0.3478244894990098,0.0
0.659308448700891,0.0
0.0541780269939158,0.0
0.8603650663952147,1.0
0.3265318410127024,1.0
0.6066319576452764,1.0
0.0118781288190695,0.0
0.3657711432986196,0.0
0.0019213904202954,0.0
0.1653704172316334,0.0
0.4478345776663799,0.0
0.5350938125822025,1.0
0.1528375485955296,1.0
0.7452762462998681,1.0
0.1889218127113958,0.0
0.1157445855850507,0.0
0.3333794839645679,1.0
0.5514392209362571,0.0
0.9890239193423608,1.0
0.4186924481479179,1.0
0.4259749921636817,0.0
0.0592185543735266,1.0
0.7658848952381062,1.0
0.181699307947765,1.0
0.7448634279972012,1.0
0.9107190197838568,0.0
0.7682865963929197,0.0
0.6424871869184141,0.0
0.6039402359094613,0.0
0.453618514005131,1.0
0.1444495057767036,0.0
0.7789071507314337,0.0
0.4773139322327042,0.0
0.6256753040889905,1.0
0.3739805498209935,1.0
0.2006438549619778,0.0
0.8065840605779712,1.0
0.3423570652715525,1.0
0.8667709681338936,1.0
0.9658410958623932,1.0
0.83007011087584,1.0
0.1280406731407075,0.0
0.8550988911659296,0.0
0.5193602053583628,0.0
0.2413431109131937,0.0
0.0930497418631972,0.0
0.2784508083476359,0.0
0.1373320785180025,0.0
0.02552107656261,0.0
0.9878861620085756,0.0
0.8316242282351956,0.0
0.7390076338357232,0.0
0.1929329408692905,0.0
0.0276134666876485,0.0
0.485197554045626,0.0
0.7417535006299382,0.0
0.962952820443036,0.0
0.84396881522028,0.0
0.8936001342369034,1.0
0.2385935568618969,0.0
0.1552355777842798,0.0
0.2477149043563543,1.0
0.1384847634335149,0.0
0.7985573744018347,0.0
0.9031432718697074,1.0
0.3072903470276605,1.0
0.8770197346364601,0.0
0.0549191684502971,0.0
0.677399205630411,0.0
0.5274976641778789,0.0
0.2766838144093159,1.0
0.7682669246284244,0.0
0.2119713042324872,0.0
0.4161255516072603,1.0
0.7099102895457506,0.0
0.3381851773747966,0.0
0.8554482384510724,0.0
0.8655176303111078,0.0
0.2024520159317261,1.0
0.4403722336181285,1.0
0.4319927522113777,1.0
0.410019643010337,1.0
0.5019700851788417,1.0
