Longitude,Flood Occurred
0.3735700849903923,1.0
0.3328318741028868,0.0
0.1760371701054794,1.0
0.6072503649090033,0.0
0.476577419268329,0.0
0.8657448950945543,1.0
0.0319592797873775,1.0
0.643860149431093,1.0
0.7629688429158104,0.0
0.7595057269714,0.0
0.8861226161989209,1.0
0.7290458059564748,1.0
0.927868434092854,0.0
0.3325763181688631,0.0
0.503168869131778,0.0
0.0139251621221924,1.0
0.0068014268982496,0.0
0.2400247819043797,1.0
0.1006729010661151,1.0
0.2601142085725686,0.0
0.1769267593321332,1.0
0.0283688878779805,0.0
0.9093582074909698,0.0
0.0080672658201971,0.0
0.7360958495443197,0.0
0.152025551790147,1.0
0.9122843646384444,0.0
0.8928461547247122,0.0
0.6538957057043598,0.0
0.6722329802123334,1.0
0.0051826045121873,1.0
0.9849432322920464,1.0
0.8778793326721998,0.0
0.8951569790969205,1.0
0.6592403412464322,1.0
0.3447094730295768,0.0
0.893699062882752,1.0
0.2914270621072388,1.0
0.5626848580523618,1.0
0.0995964255406606,0.0
0.9220126386592408,1.0
0.140645472019327,0.0
0.2247914190627469,0.0
0.558106406435748,0.0
0.7641132311655614,0.0
0.6193378161256928,0.0
0.2320302121758633,0.0
0.0007854809018738,1.0
0.7571691938705114,0.0
0.9852790703121715,0.0
0.8099440260640642,0.0
0.4601560520885038,1.0
0.903820032544807,0.0
0.4097853748256825,0.0
0.5248985978631158,0.0
0.4770831439476351,1.0
0.4475703751699281,0.0
0.7752135857160348,0.0
0.5267338483515451,1.0
0.3166331269210359,1.0
0.2580605299571019,1.0
0.0375983297075433,1.0
0.5831732487029515,1.0
0.2298572086456595,1.0
0.1480106517455492,1.0
0.6538245065792408,0.0
0.6812101791822165,1.0
0.7521723419652611,1.0
0.5035364343312843,0.0
0.8941051135725689,0.0
0.9364031137217176,1.0
0.8074012532935632,1.0
0.6355837761699584,1.0
0.3036339307435498,0.0
0.983016138944428,1.0
0.2740422519171998,1.0
0.2025463540523937,0.0
0.4420993419902754,0.0
0.0566960316461663,1.0
0.9785646451641042,1.0
0.5884128636356244,1.0
0.5569240645833105,0.0
0.6557912807478866,1.0
0.4969816590464215,1.0
0.0319132056683811,1.0
0.6122961589028705,1.0
0.7161829440946341,1.0
0.4166883701614923,0.0
0.7573142194132874,1.0
0.2268964029588625,1.0
0.2211703609898431,1.0
0.1612968119992244,0.0
0.37192364282726,0.0
0.8470515841558052,0.0
0.8279471611566639,1.0
0.3827556139598909,1.0
0.5890982028270949,0.0
0.7208264651715767,1.0
0.2411051877265702,1.0
0.1680224767330599,1.0
0.9721646830398798,0.0
0.6175434054489245,0.0
0.9814865828971252,1.0
0.3376768934947032,1.0
0.7030377053529713,1.0
0.2224977156293464,0.0
0.2611032422742275,1.0
